prec,obama,romney,total_votes,county
1,294.0,366.0,688.0,001
2,511.0,460.0,1001.0,001
3,376.0,372.0,790.0,001
4,273.0,269.0,566.0,001
5,295.0,219.0,538.0,001
6,529.0,451.0,1037.0,001
7,617.0,380.0,1048.0,001
8,169.0,141.0,330.0,001
9,277.0,200.0,500.0,001
10,339.0,249.0,616.0,001
11,526.0,252.0,813.0,001
12,459.0,212.0,704.0,001
13,362.0,244.0,640.0,001
14,356.0,206.0,592.0,001
15,385.0,270.0,677.0,001
16,279.0,141.0,450.0,001
17,467.0,287.0,802.0,001
18,454.0,237.0,727.0,001
19,571.0,645.0,1281.0,001
20,531.0,404.0,978.0,001
21,687.0,578.0,1327.0,001
22,379.0,329.0,740.0,001
23,509.0,362.0,914.0,001
24,695.0,538.0,1305.0,001
25,538.0,490.0,1067.0,001
26,591.0,324.0,964.0,001
27,394.0,186.0,600.0,001
28,330.0,120.0,476.0,001
29,391.0,197.0,615.0,001
30,720.0,624.0,1404.0,001
31,388.0,75.0,475.0,001
32,432.0,164.0,620.0,001
33,609.0,129.0,757.0,001
34,267.0,88.0,369.0,001
35,263.0,101.0,382.0,001
36,379.0,96.0,495.0,001
37,493.0,247.0,764.0,001
38,610.0,209.0,857.0,001
39,507.0,230.0,778.0,001
40,405.0,136.0,565.0,001
41,522.0,219.0,764.0,001
42,325.0,131.0,473.0,001
43,396.0,141.0,562.0,001
44,557.0,196.0,797.0,001
45,332.0,83.0,439.0,001
46,493.0,150.0,666.0,001
47,160.0,54.0,222.0,001
48,483.0,123.0,627.0,001
49,518.0,143.0,696.0,001
50,722.0,261.0,1016.0,001
51,397.0,89.0,507.0,001
52,845.0,360.0,1265.0,001
53,266.0,112.0,387.0,001
54,496.0,262.0,794.0,001
55,483.0,171.0,686.0,001
56,380.0,191.0,602.0,001
57,310.0,254.0,593.0,001
58,84.0,49.0,139.0,001
59,625.0,234.0,904.0,001
60,526.0,212.0,785.0,001
61,321.0,82.0,423.0,001
62,248.0,59.0,315.0,001
63,232.0,38.0,285.0,001
64,174.0,31.0,219.0,001
65,390.0,112.0,519.0,001
66,345.0,127.0,498.0,001
67,498.0,86.0,612.0,001
68,475.0,501.0,1040.0,001
69,661.0,717.0,1426.0,001
70,624.0,451.0,1132.0,001
71,467.0,140.0,634.0,001
72,257.0,60.0,332.0,001
73,501.0,270.0,803.0,001
74,312.0,124.0,466.0,001
75,207.0,73.0,292.0,001
76,281.0,155.0,457.0,001
77,285.0,146.0,457.0,001
78,540.0,406.0,993.0,001
79,606.0,693.0,1346.0,001
80,643.0,585.0,1299.0,001
81,607.0,552.0,1218.0,001
82,450.0,483.0,983.0,001
83,690.0,621.0,1375.0,001
84,525.0,480.0,1046.0,001
85,700.0,872.0,1632.0,001
86,309.0,194.0,533.0,001
87,370.0,326.0,724.0,001
88,291.0,144.0,449.0,001
89,193.0,194.0,412.0,001
90,527.0,199.0,749.0,001
91,448.0,288.0,772.0,001
92,344.0,259.0,629.0,001
93,457.0,103.0,577.0,001
94,143.0,37.0,187.0,001
95,233.0,26.0,270.0,001
96,314.0,206.0,554.0,001
97,486.0,326.0,872.0,001
98,443.0,135.0,608.0,001
99,424.0,259.0,714.0,001
101,407.0,74.0,530.0,001
102,244.0,37.0,311.0,001
103,497.0,138.0,656.0,001
104,115.0,16.0,132.0,001
105,184.0,16.0,205.0,001
106,463.0,69.0,547.0,001
107,345.0,79.0,469.0,001
108,147.0,204.0,356.0,001
109,24.0,12.0,38.0,001
110,336.0,275.0,640.0,001
111,576.0,398.0,1027.0,001
112,553.0,517.0,1137.0,001
113,332.0,311.0,675.0,001
114,702.0,880.0,1658.0,001
115,863.0,948.0,1904.0,001
116,263.0,296.0,576.0,001
117,617.0,795.0,1493.0,001
118,425.0,520.0,981.0,001
119,835.0,462.0,1359.0,001
120,643.0,404.0,1102.0,001
121,453.0,191.0,674.0,001
122,232.0,49.0,305.0,001
123,411.0,73.0,517.0,001
124,211.0,44.0,273.0,001
125,337.0,71.0,434.0,001
127,327.0,353.0,711.0,001
128,308.0,317.0,664.0,001
129,231.0,209.0,460.0,001
131,186.0,45.0,248.0,001
132,242.0,42.0,298.0,001
133,271.0,36.0,324.0,001
134,840.0,573.0,1456.0,001
135,343.0,57.0,417.0,001
136,486.0,233.0,744.0,001
137,354.0,152.0,525.0,001
138,395.0,138.0,561.0,001
139,272.0,84.0,374.0,001
140,315.0,106.0,441.0,001
141,196.0,89.0,291.0,001
142,510.0,238.0,777.0,001
143,234.0,88.0,331.0,001
144,347.0,158.0,528.0,001
150,554.0,281.0,880.0,001
151,468.0,112.0,616.0,001
152,372.0,120.0,512.0,001
153,372.0,132.0,530.0,001
154,733.0,213.0,980.0,001
161,278.0,66.0,360.0,001
162,410.0,106.0,549.0,001
163,256.0,45.0,319.0,001
164,268.0,59.0,346.0,001
165,308.0,56.0,391.0,001
166,267.0,36.0,321.0,001
170,432.0,333.0,810.0,001
171,527.0,433.0,1011.0,001
180,192.0,113.0,316.0,001
181,631.0,191.0,861.0,001
182,288.0,96.0,397.0,001
183,535.0,217.0,801.0,001
184,314.0,118.0,448.0,001
185,572.0,270.0,874.0,001
186,530.0,178.0,741.0,001
187,461.0,119.0,608.0,001
191,223.0,97.0,336.0,001
192,327.0,101.0,453.0,001
193,280.0,120.0,421.0,001
194,292.0,130.0,447.0,001
195,253.0,59.0,326.0,001
196,234.0,66.0,311.0,001
197,296.0,91.0,408.0,001
211,178.0,34.0,226.0,001
212,337.0,53.0,411.0,001
214,314.0,65.0,418.0,001
215,272.0,72.0,374.0,001
216,307.0,118.0,447.0,001
217,63.0,33.0,98.0,001
221,424.0,99.0,558.0,001
223,239.0,30.0,300.0,001
224,201.0,29.0,250.0,001
225,104.0,11.0,124.0,001
226,168.0,22.0,204.0,001
241,275.0,56.0,367.0,001
242,313.0,41.0,396.0,001
243,402.0,41.0,507.0,001
244,451.0,92.0,599.0,001
245,370.0,54.0,445.0,001
246,208.0,44.0,272.0,001
251,273.0,64.0,358.0,001
252,340.0,79.0,446.0,001
253,461.0,137.0,633.0,001
254,452.0,125.0,618.0,001
255,480.0,117.0,629.0,001
256,344.0,90.0,465.0,001
257,0.0,0.0,0.0,001
258,117.0,179.0,307.0,001
271,372.0,103.0,508.0,001
272,318.0,65.0,414.0,001
273,445.0,153.0,629.0,001
274,283.0,65.0,373.0,001
275,564.0,175.0,772.0,001
278,203.0,159.0,379.0,001
281,270.0,78.0,370.0,001
282,400.0,137.0,566.0,001
283,176.0,55.0,245.0,001
284,256.0,153.0,435.0,001
285,219.0,99.0,339.0,001
286,526.0,161.0,725.0,001
287,219.0,92.0,334.0,001
289,555.0,828.0,1462.0,001
290,119.0,197.0,331.0,001
291,267.0,203.0,503.0,001
292,466.0,459.0,967.0,001
293,408.0,227.0,678.0,001
294,187.0,404.0,614.0,001
295,211.0,295.0,535.0,001
296,186.0,134.0,335.0,001
297,389.0,286.0,725.0,001
