prec,obama,romney,total_votes,county
1,93.0,306.0,408.0,005
2,99.0,289.0,398.0,005
3,106.0,325.0,446.0,005
4,129.0,276.0,415.0,005
5,211.0,803.0,1031.0,005
6,136.0,300.0,456.0,005
7,129.0,429.0,569.0,005
9,145.0,504.0,659.0,005
10,81.0,464.0,563.0,005
11,150.0,650.0,811.0,005
12,49.0,286.0,342.0,005
13,141.0,216.0,372.0,005
14,176.0,251.0,457.0,005
15,76.0,180.0,270.0,005
16,84.0,163.0,257.0,005
21,206.0,633.0,857.0,005
22,148.0,325.0,490.0,005
23,108.0,183.0,307.0,005
24,91.0,103.0,200.0,005
25,94.0,135.0,237.0,005
31,144.0,221.0,388.0,005
32,95.0,87.0,191.0,005
33,110.0,172.0,291.0,005
34,100.0,77.0,184.0,005
35,124.0,194.0,323.0,005
36,126.0,398.0,532.0,005
41,194.0,521.0,737.0,005
42,112.0,106.0,231.0,005
43,153.0,105.0,272.0,005
44,1.0,22.0,23.0,005
45,2.0,11.0,13.0,005
46,10.0,87.0,99.0,005
47,0.0,7.0,7.0,005
51,94.0,37.0,133.0,005
52,159.0,182.0,349.0,005
61,142.0,50.0,200.0,005
62,143.0,72.0,220.0,005
63,342.0,170.0,527.0,005
71,71.0,248.0,324.0,005
72,202.0,238.0,453.0,005
73,56.0,172.0,235.0,005
81,78.0,102.0,181.0,005
82,144.0,173.0,326.0,005
83,98.0,151.0,258.0,005
84,139.0,248.0,399.0,005
85,88.0,213.0,308.0,005
90,104.0,114.0,226.0,005
91,194.0,302.0,510.0,005
92,62.0,163.0,233.0,005
93,196.0,359.0,578.0,005
94,176.0,164.0,353.0,005
101,245.0,530.0,792.0,005
102,179.0,351.0,553.0,005
103,68.0,137.0,213.0,005
104,1.0,83.0,85.0,005
