County,Precinct,Office,Candidate,Total Votes
,,,,
CHAVES,1,US PRESIDENT and VICE PRESIDENT,BARACK OBAMA and JOE BIDEN,93
,,,DEMOCRATIC PARTY,
,,,MITT ROMNEY and PAUL RYAN,306
,,,REPUBLICAN PARTY,
,,,VIRGIL GOODE and JIM CLYMER,0
,,,CONSTITUTION PARTY,
,,,GARY JOHNSON and JAMES P. GRAY,9
,,,LIBERTARIAN PARTY,
,,,"ROSS C. ""ROCKY"" ANDERSON and LUIS J. RODRIGUEZ",0
,,,NEW MEXICO INDEPENDENT PARTY,
,,,JILL STEIN and CHERI HONKALA,0
,,,GREEN PARTY,
CHAVES,2,US PRESIDENT and VICE PRESIDENT,BARACK OBAMA and JOE BIDEN,99
,,,DEMOCRATIC PARTY,
,,,MITT ROMNEY and PAUL RYAN,289
,,,REPUBLICAN PARTY,
,,,VIRGIL GOODE and JIM CLYMER,1
,,,CONSTITUTION PARTY,
,,,GARY JOHNSON and JAMES P. GRAY,9
,,,LIBERTARIAN PARTY,
,,,"ROSS C. ""ROCKY"" ANDERSON and LUIS J. RODRIGUEZ",0
,,,NEW MEXICO INDEPENDENT PARTY,
,,,JILL STEIN and CHERI HONKALA,0
,,,GREEN PARTY,
CHAVES,3,US PRESIDENT and VICE PRESIDENT,BARACK OBAMA and JOE BIDEN,106
,,,DEMOCRATIC PARTY,
,,,MITT ROMNEY and PAUL RYAN,325
,,,REPUBLICAN PARTY,
,,,VIRGIL GOODE and JIM CLYMER,0
,,,CONSTITUTION PARTY,
,,,GARY JOHNSON and JAMES P. GRAY,14
,,,LIBERTARIAN PARTY,
,,,"ROSS C. ""ROCKY"" ANDERSON and LUIS J. RODRIGUEZ",1
,,,NEW MEXICO INDEPENDENT PARTY,
,,,JILL STEIN and CHERI HONKALA,0
,,,GREEN PARTY,
CHAVES,4,US PRESIDENT and VICE PRESIDENT,BARACK OBAMA and JOE BIDEN,129
,,,DEMOCRATIC PARTY,
,,,MITT ROMNEY and PAUL RYAN,276
,,,REPUBLICAN PARTY,
,,,VIRGIL GOODE and JIM CLYMER,0
,,,CONSTITUTION PARTY,
,,,GARY JOHNSON and JAMES P. GRAY,9
,,,LIBERTARIAN PARTY,
,,,"ROSS C. ""ROCKY"" ANDERSON and LUIS J. RODRIGUEZ",0
,,,NEW MEXICO INDEPENDENT PARTY,
,,,JILL STEIN and CHERI HONKALA,1
,,,GREEN PARTY,
CHAVES,5,US PRESIDENT and VICE PRESIDENT,BARACK OBAMA and JOE BIDEN,211
,,,DEMOCRATIC PARTY,
,,,MITT ROMNEY and PAUL RYAN,803
,,,REPUBLICAN PARTY,
,,,VIRGIL GOODE and JIM CLYMER,1
,,,CONSTITUTION PARTY,
,,,GARY JOHNSON and JAMES P. GRAY,15
,,,LIBERTARIAN PARTY,
,,,"ROSS C. ""ROCKY"" ANDERSON and LUIS J. RODRIGUEZ",0
,,,NEW MEXICO INDEPENDENT PARTY,
,,,JILL STEIN and CHERI HONKALA,1
,,,GREEN PARTY,
CHAVES,6,US PRESIDENT and VICE PRESIDENT,BARACK OBAMA and JOE BIDEN,136
