prec,obama,romney,total_votes,county
001,13.0,78.0,95.0,006
002,135.0,43.0,186.0,006
003,51.0,33.0,87.0,006
004,73.0,199.0,280.0,006
005,767.0,220.0,1010.0,006
006,38.0,58.0,102.0,006
007,217.0,172.0,409.0,006
008,266.0,144.0,422.0,006
009,395.0,334.0,757.0,006
010,178.0,165.0,361.0,006
011,298.0,238.0,555.0,006
012,158.0,143.0,314.0,006
013,147.0,92.0,246.0,006
014,158.0,251.0,421.0,006
015,354.0,353.0,727.0,006
016,135.0,156.0,303.0,006
017,513.0,45.0,574.0,006
018,133.0,47.0,187.0,006
019,69.0,76.0,151.0,006
020,267.0,60.0,338.0,006
021,140.0,29.0,177.0,006
022,146.0,17.0,167.0,006
023,48.0,6.0,58.0,006
024,166.0,18.0,193.0,006
025,96.0,21.0,123.0,006
