prec,obama,romney,total_votes,county
001A,112.0,136.0,266.0,007
001B,332.0,492.0,879.0,007
10,23.0,79.0,103.0,007
11,75.0,62.0,144.0,007
12,93.0,69.0,172.0,007
13,53.0,52.0,109.0,007
14,84.0,83.0,172.0,007
15,133.0,169.0,312.0,007
16,292.0,232.0,537.0,007
17,157.0,90.0,258.0,007
18,61.0,37.0,100.0,007
19,89.0,19.0,113.0,007
2,156.0,120.0,293.0,007
20,202.0,66.0,281.0,007
21,231.0,155.0,401.0,007
22,174.0,289.0,478.0,007
3,114.0,115.0,238.0,007
4,132.0,124.0,264.0,007
5,224.0,202.0,437.0,007
7,91.0,108.0,207.0,007
