prec,obama,romney,total_votes,county
1,13.0,94.0,110.0,009
2,10.0,133.0,144.0,009
3,16.0,100.0,123.0,009
4,35.0,344.0,390.0,009
5,70.0,165.0,248.0,009
6,144.0,40.0,189.0,009
7,237.0,78.0,322.0,009
8,267.0,190.0,467.0,009
9,254.0,196.0,455.0,009
10,52.0,230.0,287.0,009
11,216.0,493.0,731.0,009
12,199.0,308.0,521.0,009
13,94.0,269.0,377.0,009
14,102.0,332.0,449.0,009
15,143.0,259.0,416.0,009
16,3.0,36.0,39.0,009
17,128.0,499.0,641.0,009
18,258.0,969.0,1247.0,009
19,158.0,729.0,910.0,009
20,174.0,215.0,404.0,009
21,169.0,244.0,427.0,009
22,83.0,84.0,174.0,009
23,68.0,355.0,431.0,009
24,185.0,557.0,761.0,009
25,153.0,49.0,207.0,009
26,94.0,74.0,174.0,009
27,46.0,62.0,116.0,009
28,89.0,70.0,164.0,009
29,78.0,82.0,166.0,009
30,56.0,211.0,273.0,009
31,76.0,125.0,203.0,009
32,58.0,226.0,294.0,009
33,99.0,305.0,414.0,009
34,7.0,88.0,96.0,009
35,57.0,384.0,451.0,009
36,17.0,135.0,155.0,009
37,114.0,521.0,649.0,009
