prec,obama,romney,total_votes,county
1,152.0,136.0,294.0,013
2,131.0,147.0,281.0,013
3,121.0,95.0,220.0,013
4,371.0,139.0,520.0,013
5,389.0,254.0,664.0,013
6,119.0,177.0,303.0,013
7,260.0,267.0,544.0,013
8,439.0,113.0,563.0,013
9,142.0,33.0,178.0,013
10,368.0,110.0,484.0,013
11,526.0,80.0,619.0,013
12,735.0,167.0,911.0,013
13,1124.0,94.0,1221.0,013
14,500.0,614.0,1128.0,013
15,701.0,417.0,1135.0,013
16,348.0,146.0,498.0,013
17,333.0,200.0,544.0,013
18,439.0,191.0,650.0,013
19,378.0,485.0,883.0,013
20,334.0,269.0,621.0,013
21,283.0,476.0,769.0,013
22,458.0,392.0,884.0,013
23,299.0,114.0,434.0,013
24,271.0,191.0,477.0,013
25,221.0,134.0,366.0,013
26,416.0,425.0,865.0,013
27,275.0,112.0,401.0,013
28,394.0,100.0,512.0,013
29,179.0,54.0,238.0,013
30,227.0,109.0,353.0,013
31,273.0,159.0,451.0,013
32,75.0,12.0,88.0,013
33,269.0,132.0,414.0,013
34,446.0,224.0,685.0,013
35,174.0,45.0,223.0,013
36,126.0,42.0,178.0,013
37,279.0,102.0,402.0,013
38,386.0,127.0,528.0,013
39,251.0,160.0,428.0,013
40,286.0,231.0,541.0,013
41,155.0,50.0,211.0,013
42,148.0,57.0,211.0,013
43,197.0,64.0,274.0,013
44,236.0,96.0,349.0,013
45,240.0,93.0,352.0,013
46,193.0,93.0,299.0,013
47,249.0,110.0,380.0,013
48,336.0,140.0,492.0,013
49,189.0,126.0,333.0,013
50,154.0,71.0,239.0,013
51,216.0,140.0,366.0,013
52,376.0,250.0,666.0,013
53,278.0,134.0,457.0,013
54,223.0,114.0,371.0,013
55,353.0,263.0,640.0,013
56,452.0,357.0,834.0,013
57,240.0,192.0,447.0,013
58,282.0,147.0,467.0,013
59,495.0,635.0,1173.0,013
60,75.0,55.0,131.0,013
61,437.0,310.0,772.0,013
62,500.0,543.0,1084.0,013
63,300.0,371.0,687.0,013
64,120.0,117.0,246.0,013
65,225.0,96.0,334.0,013
66,522.0,463.0,1016.0,013
67,639.0,581.0,1263.0,013
68,189.0,130.0,338.0,013
69,248.0,208.0,474.0,013
70,181.0,109.0,310.0,013
71,256.0,259.0,533.0,013
72,126.0,137.0,276.0,013
73,442.0,416.0,881.0,013
74,142.0,171.0,317.0,013
75,346.0,324.0,685.0,013
76,168.0,120.0,291.0,013
77,198.0,191.0,404.0,013
78,556.0,353.0,934.0,013
79,324.0,135.0,467.0,013
80,424.0,56.0,486.0,013
81,65.0,83.0,155.0,013
82,312.0,108.0,433.0,013
83,603.0,541.0,1171.0,013
84,250.0,264.0,538.0,013
85,260.0,260.0,537.0,013
86,506.0,553.0,1097.0,013
87,336.0,545.0,899.0,013
88,137.0,80.0,223.0,013
89,255.0,264.0,535.0,013
90,275.0,199.0,489.0,013
91,246.0,150.0,408.0,013
92,111.0,20.0,136.0,013
93,100.0,36.0,137.0,013
94,189.0,71.0,266.0,013
95,53.0,45.0,101.0,013
96,271.0,297.0,588.0,013
97,684.0,83.0,771.0,013
98,201.0,250.0,466.0,013
99,396.0,403.0,824.0,013
100,197.0,282.0,496.0,013
101,389.0,271.0,677.0,013
102,707.0,870.0,1609.0,013
103,313.0,224.0,550.0,013
104,218.0,162.0,394.0,013
105,563.0,466.0,1059.0,013
106,550.0,564.0,1145.0,013
107,267.0,419.0,700.0,013
108,365.0,410.0,799.0,013
109,526.0,546.0,1101.0,013
110,395.0,454.0,874.0,013
111,31.0,44.0,82.0,013
112,476.0,637.0,1131.0,013
113,261.0,300.0,576.0,013
114,318.0,425.0,756.0,013
115,128.0,299.0,439.0,013
116,216.0,237.0,461.0,013
117,439.0,264.0,727.0,013
118,315.0,259.0,597.0,013
119,261.0,155.0,429.0,013
120,26.0,30.0,59.0,013
