prec,obama,romney,total_votes,county
1,130.0,414.0,559.0,015
2,340.0,288.0,647.0,015
3,94.0,214.0,325.0,015
4,162.0,746.0,928.0,015
5,118.0,811.0,949.0,015
6,134.0,523.0,682.0,015
7,175.0,739.0,930.0,015
8,73.0,417.0,494.0,015
9,192.0,223.0,434.0,015
10,287.0,113.0,413.0,015
11,191.0,59.0,255.0,015
12,59.0,42.0,103.0,015
13,284.0,160.0,454.0,015
14,133.0,91.0,231.0,015
15,192.0,159.0,362.0,015
16,236.0,294.0,547.0,015
17,212.0,361.0,602.0,015
18,177.0,360.0,563.0,015
19,127.0,332.0,481.0,015
20,141.0,246.0,402.0,015
21,110.0,179.0,298.0,015
23,215.0,216.0,438.0,015
25,96.0,169.0,282.0,015
26,164.0,265.0,441.0,015
27,230.0,555.0,810.0,015
28,143.0,505.0,662.0,015
29,7.0,36.0,43.0,015
30,9.0,33.0,43.0,015
32,399.0,306.0,716.0,015
33,260.0,485.0,773.0,015
34,267.0,578.0,874.0,015
35,143.0,331.0,489.0,015
36,110.0,420.0,545.0,015
37,89.0,335.0,431.0,015
38,22.0,88.0,111.0,015
39,44.0,218.0,267.0,015
40,9.0,113.0,125.0,015
41,45.0,321.0,373.0,015
42,1.0,55.0,56.0,015
44,233.0,402.0,651.0,015
45,89.0,381.0,480.0,015
