prec,obama,romney,total_votes,county
1,140.0,375.0,537.0,017
2,83.0,86.0,174.0,017
3,17.0,13.0,36.0,017
4,31.0,45.0,79.0,017
5,253.0,321.0,598.0,017
6,20.0,39.0,62.0,017
7,139.0,121.0,275.0,017
8,358.0,406.0,788.0,017
9,115.0,52.0,169.0,017
10,87.0,74.0,167.0,017
11,320.0,520.0,852.0,017
12,578.0,545.0,1165.0,017
13,465.0,447.0,943.0,017
14,323.0,210.0,558.0,017
15,403.0,241.0,664.0,017
16,301.0,220.0,536.0,017
17,99.0,139.0,251.0,017
18,243.0,101.0,361.0,017
19,239.0,51.0,302.0,017
20,362.0,129.0,508.0,017
21,92.0,10.0,107.0,017
22,387.0,170.0,565.0,017
23,73.0,88.0,168.0,017
24,170.0,52.0,229.0,017
25,236.0,48.0,293.0,017
26,231.0,54.0,294.0,017
27,217.0,43.0,271.0,017
28,298.0,78.0,384.0,017
29,154.0,133.0,298.0,017
30,144.0,196.0,354.0,017
31,5.0,42.0,49.0,017
32,105.0,30.0,140.0,017
33,131.0,167.0,319.0,017
34,262.0,64.0,340.0,017
35,9.0,48.0,66.0,017
