prec,obama,romney,total_votes,county
002,1.0,27.0,29.0,025
003,76.0,401.0,495.0,025
010,116.0,468.0,599.0,025
011,85.0,106.0,198.0,025
012,67.0,137.0,208.0,025
013,152.0,461.0,634.0,025
014,112.0,292.0,415.0,025
015,129.0,661.0,814.0,025
016,79.0,101.0,183.0,025
017,79.0,156.0,241.0,025
018,28.0,194.0,223.0,025
020,108.0,809.0,940.0,025
021,26.0,187.0,214.0,025
022,115.0,692.0,828.0,025
023,99.0,599.0,712.0,025
024,65.0,397.0,469.0,025
025,54.0,354.0,412.0,025
026,95.0,523.0,638.0,025
027,70.0,402.0,480.0,025
028,79.0,247.0,330.0,025
029,105.0,343.0,460.0,025
030,85.0,234.0,325.0,025
031,163.0,282.0,454.0,025
032,92.0,339.0,440.0,025
033,108.0,340.0,454.0,025
034,54.0,91.0,147.0,025
035,68.0,95.0,167.0,025
036,123.0,199.0,331.0,025
041,165.0,484.0,658.0,025
042,91.0,303.0,408.0,025
043,94.0,292.0,397.0,025
044,97.0,277.0,383.0,025
051,83.0,73.0,158.0,025
052,255.0,204.0,468.0,025
053,234.0,138.0,377.0,025
054,83.0,95.0,182.0,025
055,65.0,62.0,133.0,025
061,153.0,136.0,300.0,025
062,22.0,184.0,210.0,025
071,92.0,297.0,401.0,025
072,88.0,405.0,502.0,025
073,79.0,282.0,367.0,025
074,46.0,179.0,231.0,025
