prec,obama,romney,total_votes,county
1,52.0,166.0,226.0,027
2,133.0,90.0,230.0,027
3,177.0,540.0,749.0,027
4,107.0,254.0,375.0,027
5,225.0,628.0,875.0,027
6,183.0,487.0,686.0,027
7,306.0,524.0,870.0,027
8,204.0,489.0,718.0,027
9,267.0,489.0,793.0,027
10,85.0,116.0,209.0,027
11,217.0,324.0,576.0,027
12,107.0,177.0,292.0,027
13,169.0,172.0,354.0,027
14,155.0,306.0,474.0,027
15,58.0,163.0,226.0,027
16,50.0,83.0,139.0,027
17,85.0,216.0,310.0,027
18,48.0,84.0,135.0,027
19,39.0,93.0,135.0,027
20,80.0,173.0,266.0,027
21,151.0,304.0,471.0,027
22,44.0,83.0,133.0,027
