prec,obama,romney,total_votes,county
001,282.0,62.0,349.0,031
002,131.0,46.0,185.0,031
003,83.0,80.0,165.0,031
004,321.0,34.0,362.0,031
005,528.0,96.0,640.0,031
006,584.0,100.0,701.0,031
007,429.0,65.0,511.0,031
008,215.0,25.0,246.0,031
009,492.0,109.0,618.0,031
010,469.0,72.0,554.0,031
011,145.0,33.0,186.0,031
012,238.0,63.0,305.0,031
013,189.0,52.0,243.0,031
014,456.0,156.0,631.0,031
015,564.0,146.0,722.0,031
016,231.0,66.0,304.0,031
017,314.0,230.0,569.0,031
018,95.0,25.0,124.0,031
019,478.0,90.0,581.0,031
020,377.0,113.0,498.0,031
021,278.0,104.0,391.0,031
022,248.0,78.0,332.0,031
023,381.0,91.0,484.0,031
024,377.0,103.0,485.0,031
025,579.0,209.0,804.0,031
026,92.0,225.0,330.0,031
027,627.0,29.0,661.0,031
028,289.0,13.0,308.0,031
029,386.0,23.0,414.0,031
030,595.0,37.0,644.0,031
031,173.0,142.0,322.0,031
032,124.0,74.0,204.0,031
033,348.0,105.0,466.0,031
034,150.0,42.0,197.0,031
035,175.0,61.0,243.0,031
036,60.0,20.0,81.0,031
037,89.0,43.0,140.0,031
038,148.0,29.0,184.0,031
039,234.0,93.0,341.0,031
040,117.0,68.0,190.0,031
041,244.0,93.0,356.0,031
042,76.0,70.0,151.0,031
043,291.0,271.0,573.0,031
044,125.0,168.0,301.0,031
045,142.0,178.0,328.0,031
046,238.0,213.0,465.0,031
047,123.0,33.0,161.0,031
048,407.0,142.0,570.0,031
049,333.0,298.0,663.0,031
050,61.0,44.0,106.0,031
052,95.0,100.0,201.0,031
053,349.0,43.0,397.0,031
054,283.0,77.0,364.0,031
055,191.0,67.0,266.0,031
056,194.0,224.0,427.0,031
057,234.0,42.0,280.0,031
058,251.0,153.0,411.0,031
059,113.0,78.0,194.0,031
