prec,obama,romney,total_votes,county
008B,105.0,313.0,429.0,035
008C,9.0,53.0,62.0,035
010B,105.0,331.0,448.0,035
015B,60.0,95.0,161.0,035
1,236.0,80.0,318.0,035
10,282.0,549.0,874.0,035
11,409.0,62.0,488.0,035
12,209.0,428.0,667.0,035
13,212.0,248.0,490.0,035
14,276.0,574.0,882.0,035
15,122.0,404.0,550.0,035
16,61.0,117.0,187.0,035
17,262.0,415.0,707.0,035
18,472.0,1230.0,1755.0,035
19,165.0,57.0,230.0,035
2,4.0,22.0,28.0,035
20,139.0,73.0,217.0,035
21,278.0,562.0,865.0,035
22,107.0,158.0,273.0,035
23,152.0,173.0,337.0,035
24,233.0,488.0,750.0,035
25,161.0,364.0,539.0,035
26,128.0,216.0,361.0,035
27,164.0,298.0,483.0,035
28,244.0,542.0,818.0,035
29,232.0,547.0,808.0,035
3,0.0,25.0,26.0,035
30,133.0,167.0,313.0,035
31,104.0,150.0,270.0,035
32,148.0,142.0,308.0,035
33,132.0,210.0,360.0,035
34,97.0,200.0,305.0,035
35,173.0,544.0,750.0,035
36,168.0,262.0,441.0,035
37,92.0,206.0,310.0,035
38,39.0,66.0,110.0,035
39,160.0,353.0,529.0,035
4,6.0,61.0,68.0,035
40,117.0,304.0,433.0,035
41,200.0,94.0,295.0,035
5,33.0,129.0,168.0,035
6,18.0,110.0,135.0,035
7,30.0,176.0,207.0,035
8,206.0,444.0,682.0,035
9,146.0,409.0,575.0,035
