prec,obama,romney,total_votes,county
1,302.0,59.0,375.0,039
2,743.0,188.0,955.0,039
3,332.0,100.0,440.0,039
4,457.0,162.0,639.0,039
5,260.0,75.0,355.0,039
6,180.0,23.0,209.0,039
7,428.0,66.0,513.0,039
8,179.0,49.0,239.0,039
9,226.0,84.0,317.0,039
10,416.0,95.0,526.0,039
11,649.0,274.0,963.0,039
12,227.0,87.0,325.0,039
13,502.0,138.0,654.0,039
14,290.0,78.0,375.0,039
15,172.0,24.0,201.0,039
16,198.0,44.0,251.0,039
17,98.0,5.0,113.0,039
18,204.0,77.0,295.0,039
19,147.0,113.0,269.0,039
20,385.0,249.0,655.0,039
21,54.0,14.0,68.0,039
22,78.0,17.0,96.0,039
23,143.0,23.0,174.0,039
24,614.0,116.0,755.0,039
25,22.0,121.0,151.0,039
26,129.0,63.0,194.0,039
27,56.0,23.0,79.0,039
28,30.0,3.0,33.0,039
29,0.0,15.0,15.0,039
30,68.0,86.0,160.0,039
31,423.0,61.0,506.0,039
32,206.0,62.0,280.0,039
33,59.0,8.0,70.0,039
34,7.0,0.0,7.0,039
35,405.0,122.0,535.0,039
36,689.0,211.0,923.0,039
37,113.0,23.0,140.0,039
38,454.0,104.0,570.0,039
39,399.0,124.0,545.0,039
40,426.0,146.0,590.0,039
41,567.0,51.0,636.0,039
42,128.0,14.0,147.0,039
