prec,obama,romney,total_votes,county
002B,1.0,3.0,4.0,041
012B,109.0,199.0,323.0,041
1,119.0,158.0,287.0,041
10,177.0,436.0,643.0,041
11,43.0,158.0,210.0,041
12,34.0,46.0,85.0,041
13,62.0,85.0,159.0,041
14,162.0,296.0,481.0,041
15,56.0,137.0,198.0,041
16,46.0,114.0,163.0,041
17,65.0,265.0,338.0,041
18,65.0,327.0,406.0,041
2,204.0,544.0,765.0,041
3,12.0,40.0,54.0,041
4,36.0,202.0,243.0,041
5,23.0,178.0,203.0,041
6,27.0,234.0,263.0,041
7,70.0,72.0,148.0,041
8,233.0,107.0,353.0,041
9,183.0,442.0,643.0,041
