prec,obama,romney,total_votes,county
1,506.0,151.0,683.0,045
2,419.0,144.0,581.0,045
3,327.0,102.0,439.0,045
4,695.0,246.0,969.0,045
5,717.0,253.0,998.0,045
6,141.0,69.0,218.0,045
7,217.0,47.0,278.0,045
8,619.0,170.0,813.0,045
9,182.0,48.0,234.0,045
10,266.0,78.0,353.0,045
11,248.0,98.0,364.0,045
12,240.0,58.0,305.0,045
13,391.0,69.0,476.0,045
14,169.0,29.0,205.0,045
15,285.0,110.0,406.0,045
16,442.0,174.0,637.0,045
17,92.0,35.0,132.0,045
18,318.0,229.0,574.0,045
19,124.0,57.0,189.0,045
20,472.0,262.0,773.0,045
21,186.0,420.0,619.0,045
22,361.0,463.0,849.0,045
23,186.0,450.0,655.0,045
24,75.0,326.0,412.0,045
25,125.0,351.0,492.0,045
26,139.0,187.0,335.0,045
27,266.0,346.0,629.0,045
28,98.0,319.0,429.0,045
29,95.0,249.0,372.0,045
30,229.0,629.0,877.0,045
31,276.0,960.0,1263.0,045
32,80.0,181.0,266.0,045
33,169.0,339.0,530.0,045
34,180.0,275.0,481.0,045
35,120.0,241.0,372.0,045
36,115.0,274.0,401.0,045
37,137.0,347.0,512.0,045
38,166.0,514.0,706.0,045
39,198.0,828.0,1043.0,045
40,163.0,351.0,543.0,045
41,183.0,786.0,1e3,045
42,140.0,664.0,825.0,045
43,164.0,367.0,545.0,045
44,186.0,677.0,898.0,045
45,193.0,444.0,663.0,045
46,141.0,472.0,633.0,045
47,34.0,151.0,195.0,045
48,103.0,473.0,593.0,045
49,239.0,876.0,1148.0,045
50,184.0,383.0,580.0,045
51,185.0,311.0,507.0,045
52,72.0,246.0,326.0,045
53,224.0,639.0,899.0,045
54,162.0,506.0,694.0,045
55,142.0,574.0,738.0,045
56,231.0,464.0,718.0,045
57,116.0,698.0,840.0,045
58,93.0,425.0,548.0,045
59,184.0,772.0,981.0,045
60,70.0,295.0,385.0,045
61,151.0,733.0,913.0,045
62,112.0,373.0,507.0,045
63,143.0,374.0,542.0,045
64,120.0,344.0,481.0,045
65,110.0,389.0,519.0,045
66,98.0,344.0,467.0,045
67,208.0,703.0,948.0,045
68,77.0,231.0,318.0,045
69,163.0,622.0,816.0,045
70,148.0,398.0,555.0,045
71,148.0,605.0,773.0,045
72,183.0,362.0,574.0,045
73,118.0,274.0,404.0,045
74,283.0,758.0,1073.0,045
75,106.0,255.0,379.0,045
76,246.0,716.0,979.0,045
77,161.0,666.0,860.0,045
