prec,obama,romney,total_votes,county
003A,255.0,22.0,282.0,047
003B,175.0,24.0,205.0,047
004A,521.0,151.0,684.0,047
004B,129.0,39.0,174.0,047
013A,160.0,25.0,187.0,047
013B,98.0,11.0,112.0,047
014A,21.0,16.0,37.0,047
014B,23.0,32.0,56.0,047
1,251.0,46.0,322.0,047
10,235.0,84.0,331.0,047
11,111.0,26.0,143.0,047
12,356.0,103.0,472.0,047
15,27.0,87.0,118.0,047
16,402.0,145.0,564.0,047
17,59.0,4.0,64.0,047
18,187.0,43.0,234.0,047
19,352.0,57.0,427.0,047
2,446.0,86.0,551.0,047
20,81.0,14.0,99.0,047
21,223.0,68.0,304.0,047
22,129.0,63.0,201.0,047
23,730.0,280.0,1053.0,047
24,233.0,61.0,311.0,047
25,286.0,56.0,350.0,047
26,667.0,81.0,763.0,047
27,438.0,111.0,569.0,047
28,285.0,87.0,379.0,047
5,561.0,153.0,733.0,047
6,212.0,53.0,273.0,047
7,268.0,75.0,350.0,047
8,785.0,88.0,898.0,047
9,144.0,112.0,263.0,047
