prec,obama,romney,total_votes,county
1,607.0,182.0,833.0,049
2,108.0,42.0,163.0,049
3,244.0,31.0,279.0,049
4,53.0,17.0,72.0,049
5,454.0,124.0,598.0,049
6,133.0,4.0,144.0,049
7,285.0,65.0,373.0,049
8,627.0,132.0,798.0,049
9,672.0,171.0,885.0,049
10,999.0,356.0,1402.0,049
11,1047.0,179.0,1287.0,049
12,634.0,160.0,827.0,049
13,935.0,224.0,1202.0,049
14,386.0,114.0,512.0,049
15,205.0,361.0,606.0,049
16,97.0,125.0,234.0,049
17,216.0,66.0,294.0,049
18,187.0,396.0,625.0,049
19,85.0,102.0,195.0,049
20,756.0,100.0,888.0,049
21,1002.0,213.0,1266.0,049
22,643.0,147.0,818.0,049
23,388.0,115.0,520.0,049
24,596.0,80.0,711.0,049
25,429.0,36.0,487.0,049
26,316.0,35.0,371.0,049
27,672.0,83.0,799.0,049
28,371.0,75.0,459.0,049
29,799.0,290.0,1128.0,049
30,676.0,179.0,885.0,049
31,315.0,66.0,405.0,049
32,838.0,128.0,1019.0,049
33,607.0,79.0,712.0,049
34,788.0,142.0,971.0,049
35,254.0,42.0,315.0,049
36,337.0,72.0,432.0,049
37,541.0,95.0,671.0,049
38,733.0,180.0,945.0,049
39,460.0,104.0,590.0,049
40,173.0,43.0,222.0,049
41,230.0,45.0,286.0,049
42,407.0,50.0,479.0,049
43,362.0,55.0,435.0,049
44,673.0,80.0,781.0,049
45,333.0,82.0,436.0,049
46,259.0,75.0,349.0,049
47,658.0,129.0,808.0,049
48,1149.0,243.0,1438.0,049
49,481.0,123.0,635.0,049
50,562.0,121.0,721.0,049
51,483.0,134.0,635.0,049
52,805.0,186.0,1039.0,049
53,700.0,167.0,906.0,049
54,710.0,227.0,969.0,049
55,960.0,273.0,1269.0,049
56,591.0,168.0,796.0,049
57,392.0,118.0,531.0,049
58,422.0,132.0,572.0,049
59,449.0,150.0,640.0,049
60,156.0,76.0,247.0,049
61,633.0,154.0,824.0,049
62,506.0,124.0,664.0,049
63,495.0,167.0,685.0,049
64,585.0,140.0,764.0,049
65,1280.0,312.0,1653.0,049
66,770.0,197.0,1010.0,049
67,951.0,178.0,1182.0,049
68,649.0,153.0,832.0,049
69,1303.0,306.0,1657.0,049
70,1267.0,469.0,1815.0,049
71,1e3,274.0,1324.0,049
72,794.0,159.0,1008.0,049
73,358.0,644.0,1063.0,049
74,468.0,76.0,572.0,049
75,706.0,162.0,900.0,049
76,520.0,126.0,672.0,049
77,728.0,159.0,918.0,049
78,1200.0,340.0,1597.0,049
79,309.0,94.0,423.0,049
80,391.0,82.0,491.0,049
81,363.0,144.0,527.0,049
82,1359.0,867.0,2278.0,049
83,772.0,341.0,1144.0,049
84,360.0,716.0,1149.0,049
85,286.0,572.0,921.0,049
86,1664.0,508.0,2258.0,049
87,144.0,36.0,188.0,049
88,561.0,211.0,811.0,049
