prec,obama,romney,total_votes,county
1,314.0,110.0,447.0,053
2,294.0,176.0,507.0,053
3,377.0,236.0,679.0,053
4,120.0,54.0,185.0,053
5,170.0,84.0,266.0,053
6,218.0,106.0,334.0,053
7,58.0,15.0,78.0,053
8,380.0,198.0,614.0,053
9,12.0,28.0,42.0,053
10,72.0,24.0,101.0,053
11,190.0,278.0,488.0,053
12,2.0,17.0,22.0,053
13,189.0,205.0,413.0,053
14,109.0,158.0,282.0,053
15,509.0,105.0,637.0,053
16,6.0,18.0,24.0,053
17,53.0,26.0,85.0,053
18,258.0,140.0,430.0,053
19,154.0,197.0,369.0,053
20,147.0,88.0,246.0,053
21,6.0,3.0,9.0,053
22,19.0,36.0,62.0,053
23,50.0,60.0,121.0,053
24,86.0,104.0,204.0,053
25,50.0,24.0,81.0,053
26,3.0,5.0,8.0,053
27,212.0,227.0,459.0,053
