prec,obama,romney,total_votes,county
1,73.0,65.0,151.0,061
2,573.0,332.0,966.0,061
3,241.0,219.0,486.0,061
4,250.0,356.0,643.0,061
5,453.0,489.0,994.0,061
6,472.0,477.0,999.0,061
7,569.0,611.0,1242.0,061
8,612.0,629.0,1327.0,061
9,235.0,292.0,549.0,061
10,225.0,206.0,466.0,061
11,182.0,362.0,580.0,061
12,334.0,342.0,702.0,061
13,219.0,46.0,275.0,061
14,295.0,304.0,640.0,061
15,185.0,190.0,385.0,061
16,462.0,217.0,717.0,061
17,706.0,596.0,1382.0,061
18,208.0,352.0,584.0,061
19,155.0,259.0,446.0,061
20,101.0,168.0,278.0,061
21,525.0,387.0,967.0,061
22,177.0,190.0,379.0,061
23,554.0,370.0,982.0,061
24,89.0,18.0,110.0,061
25,189.0,115.0,311.0,061
26,267.0,109.0,399.0,061
27,507.0,400.0,957.0,061
28,419.0,284.0,735.0,061
29,447.0,531.0,1010.0,061
30,485.0,534.0,1072.0,061
31,419.0,376.0,838.0,061
32,447.0,377.0,866.0,061
33,136.0,121.0,265.0,061
34,122.0,144.0,285.0,061
35,204.0,199.0,426.0,061
36,160.0,144.0,325.0,061
37,195.0,229.0,443.0,061
38,276.0,284.0,589.0,061
39,526.0,565.0,1137.0,061
40,405.0,398.0,839.0,061
41,412.0,538.0,981.0,061
