county_prec,reg_12
001_001,945
001_002,1037
001_003,1347
001_004,750
001_005,716
001_006,1394
001_007,1540
001_008,455
001_009,753
001_010,1112
001_011,1125
001_012,942
001_013,841
001_014,1019
001_015,1107
001_016,680
001_017,1127
001_018,1065
001_019,1973
001_020,1372
001_021,1904
001_022,1058
001_023,1340
001_024,1886
001_025,1464
001_026,1488
001_027,1144
001_028,890
001_029,1104
001_030,1869
001_031,869
001_032,1137
001_033,1411
001_034,767
001_035,702
001_036,874
001_037,1156
001_038,1387
001_039,1246
001_040,996
001_041,1339
001_042,790
001_043,1031
001_044,1370
001_045,772
001_046,1189
001_047,389
001_048,1226
001_049,1450
001_050,1549
001_051,918
001_052,2229
001_053,661
001_054,1187
001_055,1402
001_056,990
001_057,867
001_058,347
001_059,1587
001_060,1366
001_061,779
001_062,614
001_063,549
001_064,431
001_065,861
001_066,819
001_067,1102
001_068,1612
001_069,2239
001_070,1715
001_071,1192
001_072,657
001_073,1245
001_074,816
001_075,484
001_076,684
001_077,791
001_078,1809
001_079,1842
001_080,2000
001_081,1629
001_082,1382
001_083,2467
001_084,1729
001_085,2354
001_086,896
001_087,1263
001_088,823
001_089,746
001_090,1214
001_091,1202
001_092,977
001_093,1012
001_094,344
001_095,587
001_096,878
001_097,1216
001_098,1328
001_099,1119
001_101,1213
001_102,642
001_103,1120
001_104,305
001_105,385
001_106,982
001_107,776
001_108,446
001_109,63
001_110,945
001_111,1508
001_112,1694
001_113,921
001_114,2296
001_115,3066
001_116,822
001_117,2213
001_118,1450
001_119,2098
001_120,1749
001_121,976
001_122,476
001_123,913
001_124,524
001_125,750
001_127,1010
001_128,991
001_129,701
001_131,483
001_132,655
001_133,1022
001_134,2107
001_135,813
001_136,1402
001_137,987
001_138,1076
001_139,718
001_140,936
001_141,538
001_142,1326
001_143,642
001_144,914
001_150,1158
001_151,923
001_152,703
001_153,855
001_154,1480
001_161,1002
001_162,818
001_163,528
001_164,632
001_165,606
001_166,533
001_170,1280
001_171,1826
001_180,417
001_181,1175
001_182,594
001_183,1138
001_184,593
001_185,1188
001_186,1118
001_187,947
001_191,540
001_192,650
001_193,659
001_194,728
001_195,578
001_196,703
001_197,715
001_211,883
001_212,764
001_214,807
001_215,748
001_216,934
001_217,165
001_221,1170
001_223,706
001_224,517
001_225,265
001_226,434
001_241,748
001_242,829
001_243,1073
001_244,901
001_245,699
001_246,690
001_251,538
001_252,612
001_253,1080
001_254,894
001_255,1121
001_256,675
001_257,36
001_258,958
001_271,783
001_272,618
001_273,1074
001_274,583
001_275,1931
001_278,728
001_281,782
001_282,1092
001_283,510
001_284,682
001_285,665
001_286,2124
001_287,661
001_289,1865
001_290,441
001_291,764
001_292,1372
001_293,1470
001_294,798
001_295,754
001_296,581
001_297,1295
001_298,1226
001_299,1150
001_300,602
001_301,762
001_302,1943
001_303,535
001_304,574
001_305,1012
001_306,653
001_307,730
001_308,558
001_311,790
001_312,804
001_313,425
001_314,688
001_315,668
001_316,943
001_317,603
001_318,1285
001_321,569
001_322,431
001_323,1025
001_324,1944
001_326,1123
001_327,1061
001_328,1466
001_329,773
001_330,891
001_331,785
001_332,801
001_333,1194
001_341,592
001_342,464
001_343,719
001_344,930
001_345,1696
001_346,1086
001_347,1031
001_351,501
001_352,688
001_353,441
001_354,621
001_355,627
001_356,580
001_357,429
001_358,1709
001_371,869
001_372,454
001_373,585
001_374,558
001_375,1258
001_381,589
001_382,510
001_383,795
001_384,859
001_385,641
001_386,479
001_387,569
001_400,519
001_401,696
001_402,695
001_403,583
001_404,782
001_405,847
001_406,591
001_407,918
001_408,660
001_409,1542
001_410,855
001_411,1120
001_412,281
001_413,1122
001_414,403
001_415,391
001_416,527
001_417,712
001_418,542
001_419,1186
001_420,1492
001_421,983
001_422,2147
001_423,2144
001_424,2418
001_425,1599
001_426,1214
001_427,2176
001_428,932
001_429,1369
001_430,832
001_431,762
001_432,1062
001_433,644
