county,precinct,code,reg_voters
BERNALILLO,1,,945
BERNALILLO,2,,1037
BERNALILLO,3,,1347
BERNALILLO,4,,750
BERNALILLO,5,,716
BERNALILLO,6,,1394
BERNALILLO,7,,1540
BERNALILLO,8,,455
BERNALILLO,9,,753
BERNALILLO,10,,1112
BERNALILLO,11,,1125
BERNALILLO,12,,942
BERNALILLO,13,,841
BERNALILLO,14,,1019
BERNALILLO,15,,1107
BERNALILLO,16,,680
BERNALILLO,17,,1127
BERNALILLO,18,,1065
BERNALILLO,19,,1973
BERNALILLO,20,,1372
BERNALILLO,21,,1904
BERNALILLO,22,,1058
BERNALILLO,23,,1340
BERNALILLO,24,,1886
BERNALILLO,25,,1464
BERNALILLO,26,,1488
BERNALILLO,27,,1144
BERNALILLO,28,,890
BERNALILLO,29,,1104
BERNALILLO,30,,1869
BERNALILLO,31,,869
BERNALILLO,32,,1137
BERNALILLO,33,,1411
BERNALILLO,34,,767
BERNALILLO,35,,702
BERNALILLO,36,,874
BERNALILLO,37,,1156
BERNALILLO,38,,1387
BERNALILLO,39,,1246
BERNALILLO,40,,996
BERNALILLO,41,,1339
BERNALILLO,42,,790
BERNALILLO,43,,1031
BERNALILLO,44,,1370
BERNALILLO,45,,772
BERNALILLO,46,,1189
BERNALILLO,47,,389
BERNALILLO,48,,1226
BERNALILLO,49,,1450
BERNALILLO,50,,1549
BERNALILLO,51,,918
BERNALILLO,52,,2229
BERNALILLO,53,,661
BERNALILLO,54,,1187
BERNALILLO,55,,1402
BERNALILLO,56,,990
BERNALILLO,57,,867
BERNALILLO,58,,347
BERNALILLO,59,,1587
BERNALILLO,60,,1366
BERNALILLO,61,,779
BERNALILLO,62,,614
BERNALILLO,63,,549
BERNALILLO,64,,431
BERNALILLO,65,,861
BERNALILLO,66,,819
BERNALILLO,67,,1102
BERNALILLO,68,,1612
BERNALILLO,69,,2239
BERNALILLO,70,,1715
BERNALILLO,71,,1192
BERNALILLO,72,,657
BERNALILLO,73,,1245
BERNALILLO,74,,816
BERNALILLO,75,,484
BERNALILLO,76,,684
BERNALILLO,77,,791
BERNALILLO,78,,1809
BERNALILLO,79,,1842
BERNALILLO,80,,2000
BERNALILLO,81,,1629
BERNALILLO,82,,1382
BERNALILLO,83,,2467
BERNALILLO,84,,1729
BERNALILLO,85,,2354
BERNALILLO,86,,896
BERNALILLO,87,,1263
BERNALILLO,88,,823
BERNALILLO,89,,746
BERNALILLO,90,,1214
BERNALILLO,91,,1202
BERNALILLO,92,,977
BERNALILLO,93,,1012
BERNALILLO,94,,344
BERNALILLO,95,,587
BERNALILLO,96,,878
BERNALILLO,97,,1216
BERNALILLO,98,,1328
BERNALILLO,99,,1119
BERNALILLO,101,,1213
BERNALILLO,102,,642
BERNALILLO,103,,1120
BERNALILLO,104,,305
BERNALILLO,105,,385
BERNALILLO,106,,982
BERNALILLO,107,,776
BERNALILLO,108,,446
BERNALILLO,109,,63
BERNALILLO,110,,945
BERNALILLO,111,,1508
BERNALILLO,112,,1694
BERNALILLO,113,,921
BERNALILLO,114,,2296
BERNALILLO,115,,3066
BERNALILLO,116,,822
BERNALILLO,117,,2213
BERNALILLO,118,,1450
BERNALILLO,119,,2098
BERNALILLO,120,,1749
BERNALILLO,121,,976
BERNALILLO,122,,476
BERNALILLO,123,,913
BERNALILLO,124,,524
BERNALILLO,125,,750
BERNALILLO,127,,1010
BERNALILLO,128,,991
BERNALILLO,129,,701
BERNALILLO,131,,483
BERNALILLO,132,,655
BERNALILLO,133,,1022
BERNALILLO,134,,2107
BERNALILLO,135,,813
BERNALILLO,136,,1402
BERNALILLO,137,,987
BERNALILLO,138,,1076
BERNALILLO,139,,718
BERNALILLO,140,,936
BERNALILLO,141,,538
BERNALILLO,142,,1326
BERNALILLO,143,,642
BERNALILLO,144,,914
BERNALILLO,150,,1158
BERNALILLO,151,,923
BERNALILLO,152,,703
BERNALILLO,153,,855
BERNALILLO,154,,1480
BERNALILLO,161,,1002
BERNALILLO,162,,818
BERNALILLO,163,,528
BERNALILLO,164,,632
BERNALILLO,165,,606
BERNALILLO,166,,533
BERNALILLO,170,,1280
BERNALILLO,171,,1826
BERNALILLO,180,,417
BERNALILLO,181,,1175
BERNALILLO,182,,594
BERNALILLO,183,,1138
BERNALILLO,184,,593
BERNALILLO,185,,1188
BERNALILLO,186,,1118
BERNALILLO,187,,947
BERNALILLO,191,,540
BERNALILLO,192,,650
BERNALILLO,193,,659
BERNALILLO,194,,728
BERNALILLO,195,,578
BERNALILLO,196,,703
BERNALILLO,197,,715
BERNALILLO,211,,883
BERNALILLO,212,,764
BERNALILLO,214,,807
BERNALILLO,215,,748
BERNALILLO,216,,934
BERNALILLO,217,,165
BERNALILLO,221,,1170
BERNALILLO,223,,706
BERNALILLO,224,,517
BERNALILLO,225,,265
BERNALILLO,226,,434
BERNALILLO,241,,748
BERNALILLO,242,,829
BERNALILLO,243,,1073
BERNALILLO,244,,901
BERNALILLO,245,,699
BERNALILLO,246,,690
BERNALILLO,251,,538
BERNALILLO,252,,612
BERNALILLO,253,,1080
BERNALILLO,254,,894
BERNALILLO,255,,1121
BERNALILLO,256,,675
BERNALILLO,257,,36
BERNALILLO,258,,958
BERNALILLO,271,,783
BERNALILLO,272,,618
BERNALILLO,273,,1074
BERNALILLO,274,,583
BERNALILLO,275,,1931
BERNALILLO,278,,728
BERNALILLO,281,,782
BERNALILLO,282,,1092
BERNALILLO,283,,510
BERNALILLO,284,,682
BERNALILLO,285,,665
BERNALILLO,286,,2124
BERNALILLO,287,,661
BERNALILLO,289,,1865
BERNALILLO,290,,441
BERNALILLO,291,,764
BERNALILLO,292,,1372
BERNALILLO,293,,1470
BERNALILLO,294,,798
BERNALILLO,295,,754
BERNALILLO,296,,581
BERNALILLO,297,,1295
BERNALILLO,298,,1226
BERNALILLO,299,,1150
BERNALILLO,300,,602
BERNALILLO,301,,762
BERNALILLO,302,,1943
BERNALILLO,303,,535
BERNALILLO,304,,574
BERNALILLO,305,,1012
BERNALILLO,306,,653
BERNALILLO,307,,730
BERNALILLO,308,,558
BERNALILLO,311,,790
BERNALILLO,312,,804
BERNALILLO,313,,425
BERNALILLO,314,,688
BERNALILLO,315,,668
BERNALILLO,316,,943
BERNALILLO,317,,603
BERNALILLO,318,,1285
BERNALILLO,321,,569
BERNALILLO,322,,431
BERNALILLO,323,,1025
BERNALILLO,324,,1944
BERNALILLO,326,,1123
BERNALILLO,327,,1061
BERNALILLO,328,,1466
BERNALILLO,329,,773
BERNALILLO,330,,891
BERNALILLO,331,,785
BERNALILLO,332,,801
BERNALILLO,333,,1194
BERNALILLO,341,,592
BERNALILLO,342,,464
BERNALILLO,343,,719
BERNALILLO,344,,930
BERNALILLO,345,,1696
BERNALILLO,346,,1086
BERNALILLO,347,,1031
BERNALILLO,351,,501
BERNALILLO,352,,688
BERNALILLO,353,,441
BERNALILLO,354,,621
BERNALILLO,355,,627
BERNALILLO,356,,580
BERNALILLO,357,,429
BERNALILLO,358,,1709
BERNALILLO,371,,869
BERNALILLO,372,,454
BERNALILLO,373,,585
BERNALILLO,374,,558
BERNALILLO,375,,1258
BERNALILLO,381,,589
BERNALILLO,382,,510
BERNALILLO,383,,795
BERNALILLO,384,,859
BERNALILLO,385,,641
BERNALILLO,386,,479
BERNALILLO,387,,569
BERNALILLO,400,,519
BERNALILLO,401,,696
BERNALILLO,402,,695
