county_prec,total_reg
001_001,1048.0
001_002,936.0
001_003,1380.0
001_004,746.0
001_005,699.0
001_006,1373.0
001_007,1539.0
001_008,442.0
001_009,765.0
001_010,1094.0
001_011,1117.0
001_012,905.0
001_013,824.0
001_014,1014.0
001_015,1073.0
001_016,705.0
001_017,1119.0
001_018,1009.0
001_019,2021.0
001_020,1405.0
001_021,1909.0
001_022,1052.0
001_023,1333.0
001_024,1893.0
001_025,1587.0
001_026,1493.0
001_027,1156.0
001_028,870.0
001_029,1059.0
001_030,2140.0
001_031,889.0
001_032,1152.0
001_033,1409.0
001_034,729.0
001_035,676.0
001_036,865.0
001_037,1095.0
001_038,1431.0
001_039,1191.0
001_040,947.0
001_041,1452.0
001_042,780.0
001_043,1120.0
001_044,1380.0
001_045,728.0
001_046,1196.0
001_047,385.0
001_048,1269.0
001_049,1663.0
001_050,1704.0
001_051,930.0
001_052,2178.0
001_053,692.0
001_054,1584.0
001_055,1261.0
001_056,1058.0
001_057,1199.0
001_058,363.0
001_059,1634.0
001_060,1452.0
001_061,782.0
001_062,607.0
001_063,543.0
001_064,390.0
001_065,827.0
001_066,800.0
001_067,1043.0
001_068,1645.0
001_069,2327.0
001_070,1858.0
001_071,1177.0
001_072,617.0
001_073,1220.0
001_074,801.0
001_075,454.0
001_076,700.0
001_077,817.0
001_078,1985.0
001_079,1888.0
001_080,1990.0
001_081,2259.0
001_082,1316.0
001_083,2571.0
001_084,1695.0
001_085,2336.0
001_086,898.0
001_087,1270.0
001_088,814.0
001_089,788.0
001_090,1186.0
001_091,1208.0
001_092,969.0
001_093,1179.0
001_094,329.0
001_095,606.0
001_096,877.0
001_097,1205.0
001_098,1329.0
001_099,1087.0
001_101,1208.0
001_102,622.0
001_103,1250.0
001_104,312.0
001_105,371.0
001_106,1039.0
001_107,777.0
001_108,437.0
001_109,68.0
001_110,964.0
001_111,1524.0
001_112,1670.0
001_113,940.0
001_114,2295.0
001_115,3109.0
001_116,843.0
001_117,2407.0
001_118,1652.0
001_119,2129.0
001_120,1696.0
001_121,977.0
001_122,464.0
001_123,929.0
001_124,572.0
001_125,754.0
001_127,1726.0
001_128,965.0
001_129,773.0
001_131,497.0
001_132,760.0
001_133,983.0
001_134,2260.0
001_135,799.0
001_136,1522.0
001_137,917.0
001_138,1216.0
001_139,706.0
001_140,893.0
001_141,958.0
001_142,1421.0
001_143,716.0
001_144,1031.0
001_150,1184.0
001_151,897.0
001_152,699.0
001_153,875.0
001_154,1502.0
001_161,1001.0
001_162,892.0
001_163,515.0
001_164,648.0
001_165,596.0
001_166,519.0
001_170,1531.0
001_171,1871.0
001_180,413.0
001_181,1137.0
001_182,572.0
001_183,1085.0
001_184,565.0
001_185,1210.0
001_186,1117.0
001_187,938.0
001_191,538.0
001_192,618.0
001_193,664.0
001_194,731.0
001_195,583.0
001_196,699.0
001_197,740.0
