county,precinct,asian,black,white,latino,native,other
1,1,6,32,626,345,,39
1,2,6,15,631,273,,11
1,3,19,32,783,456,,90
1,4,2,,601,142,,1
1,5,4,,446,247,,2
1,6,2,,864,503,,4
1,7,3,3,782,743,,8
1,8,2,,230,209,,1
1,9,1,,299,462,,3
1,10,8,18,538,468,,62
1,11,3,1,625,487,,1
1,12,1,,560,342,,2
1,13,1,,630,189,,4
1,14,2,2,507,490,,13
1,15,7,4,570,478,,14
1,16,2,3,355,341,,4
1,17,5,2,646,458,,8
1,18,1,1,462,536,1,8
1,19,6,36,1423,541,1,14
1,20,,3,737,647,,18
1,21,16,44,1110,700,,39
1,22,9,30,542,436,,35
1,23,4,13,696,605,,15
1,24,,17,1156,706,,14
1,25,17,27,831,685,,27
1,26,,14,640,813,,26
1,27,1,44,476,564,1,70
1,28,,18,310,492,,50
1,29,,13,419,603,,24
1,30,43,33,1255,769,,40
1,31,12,53,216,458,4,146
1,32,1,43,172,911,1,24
1,33,,10,165,1172,,62
1,34,,10,127,565,,27
1,35,,6,147,504,,19
1,36,1,7,153,693,,11
1,37,1,10,263,814,,7
1,38,3,11,243,1125,,49
1,39,6,17,453,686,,29
1,40,,6,138,785,,18
1,41,2,32,359,1045,,14
1,42,4,12,149,606,,9
1,43,4,52,216,837,,11
1,44,1,17,290,1070,,2
1,45,,3,96,628,,1
1,46,,,187,1002,,7
1,47,,,71,312,,2
1,48,,4,210,1045,,10
1,49,,7,304,1331,,21
1,50,1,63,321,1269,1,49
1,51,,16,78,807,,29
1,52,7,41,556,1533,,41
1,53,,19,119,547,,7
1,54,11,52,519,952,1,49
1,55,,27,319,844,1,70
1,56,,12,247,778,,21
1,57,13,32,608,509,,37
1,58,1,15,147,190,,10
1,59,3,62,286,1240,,43
1,60,,33,273,1121,,25
1,61,,2,146,630,,4
1,62,,,102,501,,4
1,63,,7,142,392,,2
1,64,,1,115,270,,4
1,65,,,223,600,1,3
1,66,,6,211,582,,1
1,67,1,7,193,836,,6
1,68,12,31,940,638,,24
1,69,12,63,1361,860,,31
1,70,64,29,821,908,1,35
1,71,1,6,177,990,,3
1,72,,2,78,527,,10
1,73,,3,331,878,,8
1,74,1,1,221,575,,3
1,75,,6,92,351,,5
1,76,,,248,447,,5
1,77,1,3,187,620,,6
1,78,23,56,1059,796,,51
1,79,53,28,1080,657,,70
1,80,11,28,1245,671,,35
1,81,23,28,1274,881,,53
1,82,14,15,820,439,2,26
1,83,15,37,1592,809,,118
1,84,2,30,958,635,1,69
1,85,9,23,1600,679,,25
1,86,2,,407,483,,6
