county,precinct,asian,black,white,latino,native,other
5,1,1,,475,97,,2
5,2,3,,414,150,,2
5,3,2,2,477,161,,4
5,4,,2,392,174,,4
5,5,14,1,1111,261,,7
5,6,3,1,500,186,,3
5,7,3,,630,140,,6
5,9,6,5,769,172,,5
5,10,,2,684,105,,1
5,11,3,3,925,124,,3
5,12,,,406,62,,
5,13,2,3,381,282,,2
5,14,1,2,533,231,,
5,15,,2,317,77,,
5,16,4,,279,156,,1
5,21,,,866,253,,1
5,22,,,566,170,,4
5,23,2,6,292,224,,2
5,24,,,162,193,,3
5,25,2,5,272,148,,6
5,31,,5,334,393,,10
5,32,,,190,190,,2
5,33,1,1,295,209,,1
5,34,,3,169,215,,4
5,35,1,6,313,208,,7
5,36,,4,564,187,,2
5,41,1,1,865,274,,6
5,42,,,158,294,,2
5,43,,,166,328,,1
5,44,,,25,1,,
5,45,,,15,2,,
5,46,1,,128,27,,
5,47,,,9,,,
5,51,,4,81,237,,1
5,52,,4,258,356,,4
5,61,,3,55,324,,3
5,62,1,9,75,396,,1
5,63,,17,232,753,,18
5,71,,3,323,107,,2
5,72,,5,354,519,,1
5,73,,,261,90,,
5,81,,3,150,143,,2
5,82,,10,261,214,,1
5,83,3,2,247,114,,2
5,84,,4,430,251,,4
5,85,,5,265,163,,3
5,90,1,11,211,179,,4
5,91,3,16,394,369,,9
5,92,,3,260,153,,1
5,93,4,7,515,330,,6
5,94,,20,431,549,,10
5,101,,2,611,585,,20
5,102,,1,475,475,,2
5,103,,9,142,146,,
5,104,,2,78,8,,
