county,precinct,asian,black,white,latino,native,other
6,1,,4,134,10,,3
6,2,5,2,33,216,1,14
6,3,,2,24,78,5,
6,4,,26,307,90,10,13
6,5,6,59,634,223,335,481
6,6,,1,66,11,71,4
6,7,2,27,250,378,,7
6,8,9,6,307,429,1,31
6,9,2,12,469,566,,41
6,10,2,6,228,364,2,32
6,11,,,371,499,1,33
6,12,5,1,244,159,,18
6,13,,3,133,290,,13
6,14,,10,403,215,5,26
6,15,1,29,539,618,2,39
6,16,1,2,238,177,2,12
6,17,,24,118,133,155,696
6,18,,9,80,197,,11
6,19,1,13,139,104,,12
6,20,11,16,228,203,26,199
6,21,20,3,115,139,7,58
6,22,1,3,26,11,30,248
6,23,1,1,13,12,8,71
6,24,1,36,152,92,11,13
6,25,7,16,79,89,8,22
