county,precinct,asian,black,white,latino,native,other
9,1,1,6,116,2,,4
9,2,2,5,155,13,,
9,3,1,1,142,41,,
9,4,2,23,503,37,,3
9,5,,6,241,160,,12
9,6,,61,70,251,,13
9,7,1,116,139,361,,24
9,8,1,69,375,406,,11
9,9,4,60,378,422,,9
9,10,,3,350,57,,9
9,11,12,36,783,239,,29
9,12,6,40,555,251,,22
9,13,,21,430,82,,8
9,14,1,10,530,130,,10
9,15,3,34,473,220,,17
9,16,,1,39,,,
9,17,1,13,836,92,,2
9,18,16,46,1613,232,,10
9,19,7,19,1034,126,,5
9,20,1,29,398,282,,38
9,21,3,38,501,276,,32
9,22,,15,159,197,,15
9,23,,11,491,60,,
9,24,7,24,952,232,,11
9,25,,32,94,258,,8
9,26,2,21,152,212,,6
9,27,3,5,84,86,,6
9,28,,2,105,206,,9
9,29,5,25,248,140,,8
9,30,,8,297,128,,2
9,31,2,37,302,76,,18
9,32,,12,364,40,,1
9,33,1,42,454,214,,6
9,34,,11,102,6,,2
9,35,,8,568,52,,10
9,36,,1,194,29,,3
9,37,3,8,855,94,,5
