county,precinct,asian,black,white,latino,native,other
13,1,,6,142,290,,3
13,2,,2,139,262,,2
13,3,2,,137,236,,2
13,4,,2,155,627,,
13,5,2,3,530,531,,2
13,6,5,54,340,77,,9
13,7,,1,408,435,,5
13,8,,6,86,1038,,
13,9,,,32,327,,1
13,10,,1,57,815,,
13,11,1,,27,1111,,
13,12,,,111,1563,,3
13,13,,1,19,2639,,1
13,14,,19,927,1151,,27
13,15,2,5,516,1637,,7
13,16,1,,161,573,,2
13,17,,,210,583,,2
13,18,3,5,338,519,,2
13,19,2,8,670,516,,51
13,20,2,5,475,472,,7
13,21,4,7,737,194,,32
13,22,4,19,630,944,,8
13,23,,2,205,513,,5
13,24,,5,370,430,,4
13,25,,2,255,215,,5
13,26,,14,565,597,,11
13,27,,6,175,431,,4
13,28,,11,191,652,,7
13,29,,,89,285,,4
13,30,,5,292,269,,4
13,31,,2,332,252,,8
13,32,,2,47,144,,1
13,33,,2,348,263,,7
13,34,1,2,351,648,,8
13,35,,,126,307,,3
13,36,,1,80,236,,4
13,37,,3,367,187,,1
13,38,12,12,276,804,,26
13,39,3,8,318,336,,19
13,40,7,5,327,448,,21
13,41,6,4,124,284,,6
13,42,1,,60,310,,9
13,43,2,1,144,345,,8
13,44,,1,140,419,,2
13,45,,2,242,371,,5
13,46,,1,173,340,,1
13,47,2,3,262,409,,3
13,48,5,18,410,602,,10
13,49,5,7,260,294,,6
13,50,2,2,178,188,,3
13,51,1,15,311,269,,2
13,52,12,34,642,597,,27
13,53,7,22,466,449,,17
13,54,9,33,371,290,1,34
13,55,3,22,695,405,,18
13,56,4,5,727,508,,8
13,57,,1,413,237,,1
13,58,2,62,500,397,1,49
13,59,8,15,1046,658,,21
13,60,,,63,161,,
13,61,6,7,740,534,,11
13,62,7,25,1067,778,,23
13,63,,,516,411,,1
13,64,,2,252,181,,2
13,65,,7,130,482,,4
13,66,,5,794,812,,6
13,67,14,31,1470,601,,20
13,68,9,10,273,308,,15
13,69,9,8,443,329,1,18
13,70,7,5,302,218,,9
13,71,5,1,510,193,,6
13,72,1,3,274,143,,4
13,73,25,5,912,279,,21
13,74,,1,249,343,,7
13,75,,3,446,909,,14
13,76,,3,199,370,,10
13,77,3,,390,108,,1
13,78,,4,580,1058,,9
13,79,,1,152,572,,2
13,80,,,14,873,,
13,81,,,100,157,,
13,82,,,145,482,,
13,83,5,6,907,808,,11
13,84,,3,404,342,1,7
13,85,1,,377,386,,4
13,86,,1,774,731,,3
13,87,2,3,842,306,,1
13,88,,,143,169,,1
13,89,3,3,481,260,,4
13,90,,9,379,385,,3
13,91,,5,223,344,,5
13,92,2,,51,222,,1
13,93,,,34,196,,2
13,94,,8,250,386,,8
13,95,2,5,61,89,,1
13,96,,,355,481,,3
13,97,,,25,1485,,
13,98,,,350,234,,
13,99,3,6,626,500,,6
13,100,,5,322,299,,15
13,101,,,358,698,,2
13,102,31,21,1773,573,,20
13,103,11,15,463,341,,18
13,104,3,1,391,94,,1
13,105,2,3,858,1102,,9
13,106,19,26,1202,572,1,20
13,107,2,9,617,216,,30
13,108,9,5,614,394,,23
13,109,8,24,1146,817,,17
13,110,9,,1054,155,,3
13,111,,,115,31,,
13,112,28,31,1463,648,,20
13,113,22,3,502,237,,15
13,114,13,5,785,207,,6
13,115,1,2,410,225,,1
13,116,8,6,639,223,,7
13,117,2,26,540,826,,22
13,118,1,20,511,556,,22
13,119,2,6,284,457,1,1
13,120,,,25,87,,2
