county,precinct,asian,black,white,latino,native,other
15,1,4,2,584,316,,
15,2,1,,350,832,,1
15,3,,,344,260,,
15,4,,1,1030,393,,
15,5,,,976,375,,5
15,6,3,2,736,394,,4
15,7,1,2,1105,457,,9
15,8,5,,566,156,,3
15,9,,5,360,381,,9
15,10,2,3,224,434,,20
15,11,12,3,144,303,,12
15,12,,3,75,92,,1
15,13,,6,282,412,,1
15,14,1,5,151,231,,
15,15,1,6,259,310,,13
15,16,,4,434,423,,18
15,17,4,5,552,232,,14
15,18,3,1,572,184,,2
15,19,,1,560,82,,
15,20,,7,461,135,,14
15,21,2,2,341,130,,2
15,23,1,,382,257,,
15,25,1,,355,72,,
15,26,,1,503,148,,
15,27,4,1,919,147,,
15,28,,2,887,123,,
15,29,,,45,2,,
15,30,,5,82,5,,2
15,32,,3,397,705,,2
15,33,,,725,427,1,4
15,34,,,947,397,,7
15,35,1,1,558,175,,
15,36,,,687,95,,4
15,37,,1,684,88,,2
15,38,1,3,137,6,,1
15,39,,6,263,129,,
15,40,,11,116,17,,1
15,41,,,394,154,,2
15,42,,6,51,10,,2
15,44,2,12,617,461,,7
15,45,,4,573,56,,2
