county,precinct,asian,black,white,latino,native,other
17,1,3,22,428,17,,3
17,2,1,15,427,86,,7
17,3,,2,42,3,,
17,4,,,115,9,,2
17,5,5,15,718,203,,9
17,6,,2,74,3,,
17,7,,12,383,41,,4
17,8,,6,800,463,,3
17,9,,6,156,176,,1
17,10,1,5,180,60,,2
17,11,3,18,1046,353,,3
17,12,1,4,1456,472,,5
17,13,1,,1151,394,,3
17,14,4,2,633,357,,5
17,15,2,2,467,519,,3
17,16,1,2,551,446,,3
17,17,1,3,300,129,,2
17,18,,6,504,263,,10
17,19,,1,219,421,,8
17,20,,3,549,297,,5
17,21,1,,151,71,,2
17,22,,,387,641,,10
17,23,,1,146,135,,4
17,24,,,108,322,,
17,25,,,85,394,,1
17,26,,,96,395,,
17,27,,1,80,364,,1
17,28,,,189,461,,1
17,29,,,261,179,,2
17,30,,3,534,54,,3
17,31,,1,63,8,,
17,32,,,101,233,,4
17,33,1,,343,171,,3
17,34,,,152,434,,2
17,35,,5,79,6,,1
