county,precinct,asian,black,white,latino,native,other
25,2,,,35,2,,
25,3,1,47,558,183,,9
25,10,,26,669,250,,2
25,11,,7,204,353,,2
25,12,,8,179,271,,4
25,13,,10,668,463,,5
25,14,,8,363,435,,4
25,15,,23,930,385,,14
25,16,,2,140,287,,2
25,17,,2,204,303,,1
25,18,1,5,272,137,,2
25,20,,12,1299,315,,15
25,21,,2,288,50,,
25,22,14,29,1196,212,,30
25,23,5,20,956,185,,3
25,24,,4,531,119,,23
25,25,,3,511,69,,2
25,26,2,1,841,303,,4
25,27,,7,623,206,,14
25,28,1,8,409,154,,28
25,29,,7,605,289,,26
25,30,,6,387,123,,4
25,31,,17,392,472,,13
25,32,1,10,475,153,,6
25,33,,10,493,245,,7
25,34,,4,155,200,,1
25,35,,6,155,274,,3
25,36,,20,291,352,,15
25,41,,39,881,343,,14
25,42,,13,418,258,,7
25,43,,20,412,346,,7
25,44,,14,396,237,,10
25,51,,4,162,255,,5
25,52,7,213,405,596,1,14
25,53,,112,239,504,,38
25,54,,11,124,328,,11
25,55,,16,86,258,,14
25,61,,6,249,460,,4
25,62,,8,245,92,,7
25,71,,5,486,235,,8
25,72,,5,640,210,,7
25,73,,,511,239,,
25,74,,,292,159,,
