county,precinct,asian,black,white,latino,native,other
31,1,,3,26,4,871,
31,2,3,7,15,9,306,3
31,3,1,9,30,3,272,7
31,4,1,22,35,15,205,319
31,5,1,4,75,17,1006,2
31,6,15,120,214,101,742,6
31,7,3,20,53,33,251,455
31,8,,7,26,4,368,1
31,9,,2,32,7,660,1
31,10,1,1,25,1,683,5
31,11,,22,120,92,37,9
31,12,1,4,41,79,,3
31,13,,4,14,5,440,3
31,14,1,7,71,30,935,4
31,15,,11,50,30,176,479
31,16,1,5,21,9,444,3
31,17,1,13,100,34,845,33
31,18,2,21,91,25,5,82
31,19,,11,35,14,963,6
31,20,8,51,79,26,651,25
31,21,1,33,342,304,5,126
31,22,31,207,254,129,8,60
31,23,2,16,33,21,729,5
31,24,24,155,324,181,15,128
31,25,27,168,699,307,8,280
31,26,1,3,384,13,35,22
31,27,,,100,5,1301,44
31,28,,,101,5,593,22
31,29,,,68,3,770,23
31,30,,1,110,6,1179,36
31,31,3,10,237,151,146,51
31,32,,3,171,105,97,49
31,33,7,1,218,359,190,129
31,34,1,2,78,279,3,62
31,35,2,3,112,257,13,103
31,36,,5,44,45,35,39
31,37,4,1,68,143,3,20
31,38,,1,39,258,6,55
31,39,14,4,337,140,8,102
31,40,7,2,180,112,9,50
31,41,6,4,216,297,8,98
31,42,1,,136,79,2,20
31,43,6,10,530,239,8,79
31,44,8,1,267,99,3,34
31,45,4,5,353,137,5,64
31,46,8,6,388,219,9,58
31,47,,1,30,68,260,16
31,48,4,4,112,250,807,82
31,49,5,2,310,236,345,80
31,50,,18,102,43,4,34
31,51,3,18,29,16,390,1
31,52,2,24,170,41,5,99
31,53,25,162,247,161,3,52
31,54,12,67,230,154,12,170
31,55,12,46,132,39,12,251
31,56,14,10,382,153,13,73
31,57,35,127,172,80,7,55
31,58,10,39,321,184,34,135
31,59,7,,183,84,3,33
31,60,2,3,15,5,351,2
31,61,,2,5,,222,
31,62,4,43,122,143,7,3
