county,precinct,asian,black ,white,latino,native,other
35,1,,,144,890,,6
35,2,,2,30,1,,1
35,3,,1,24,,,
35,4,,,81,5,,
35,5,,7,235,23,,
35,6,,12,162,2,,
35,7,1,5,259,18,,1
35,8,,7,1504,112,,1
35,9,4,13,622,53,,1
35,10,1,,1527,261,,1
35,11,,,9,19,962,
35,12,1,,671,285,1,4
35,13,1,,452,308,,1
35,14,,,903,308,,5
35,15,4,12,794,262,1,20
35,16,10,57,375,78,,13
35,17,5,30,857,299,,43
35,18,37,39,2127,361,,18
35,19,1,12,116,238,,13
35,20,,41,135,165,,10
35,21,33,55,1078,209,1,13
35,22,3,10,289,87,,3
35,23,5,10,308,179,,7
35,24,20,22,774,215,1,8
35,25,,13,597,130,,4
35,26,2,31,403,123,,12
35,27,,34,485,117,,17
35,28,,19,913,227,,16
35,29,5,28,1036,219,,3
35,30,,18,306,125,,10
35,31,,12,254,156,,19
35,32,2,24,304,180,,22
35,33,1,22,376,168,,8
35,34,3,18,321,110,,15
35,35,,38,860,117,,18
35,36,2,15,566,177,,5
35,37,2,2,348,119,,4
35,38,1,5,92,56,,
35,39,,13,552,116,,10
35,40,,13,489,61,,5
35,41,,,172,722,,3
