county,precinct,asian,black,white,latino,native,other
39,1,3,12,239,292,,5
39,2,4,42,247,1300,,3
39,3,3,11,93,642,,7
39,4,7,20,184,852,,8
39,5,4,15,55,390,,3
39,6,,9,95,192,,3
39,7,4,32,183,633,,3
39,8,,12,65,337,1,1
39,9,1,9,72,499,,
39,10,1,14,154,667,1,9
39,11,25,21,355,1044,,19
39,12,1,8,88,504,,2
39,13,1,18,127,961,,
39,14,,6,72,513,,
39,15,,3,28,332,,3
39,16,2,4,102,334,,1
39,17,1,5,70,121,,2
39,18,1,5,130,344,1,9
39,19,,3,151,114,2,105
39,20,3,28,499,551,2,5
39,21,,,18,62,26,2
39,22,,5,28,95,,1
39,23,,1,19,238,,
39,24,5,14,197,297,970,16
39,25,,11,169,18,1,7
39,26,,22,73,279,,2
39,27,,,8,104,,1
39,28,,,11,75,,
39,29,1,13,24,17,,4
39,30,,2,31,263,1,1
39,31,,3,145,570,,2
39,32,1,15,129,320,,5
39,33,1,5,39,99,,
39,34,,,2,5,,
39,35,13,23,406,423,,9
39,36,4,18,157,1466,,8
39,37,,,36,185,,1
39,38,,14,174,782,,4
39,39,2,19,241,657,,8
39,40,2,21,179,880,,1
39,41,7,50,220,944,1,5
39,42,2,4,56,149,,2
