county,precinct,asian,black,white,latino,native,other
45,1,1,23,72,18,958,1
45,2,6,11,84,26,822,1
45,3,17,67,223,79,350,13
45,4,1,21,116,35,1386,2
45,5,3,31,104,40,1548,2
45,6,2,8,24,10,291,
45,7,1,11,23,3,341,
45,8,1,38,63,21,475,581
45,9,,1,21,,267,1
45,10,3,18,63,23,425,14
45,11,1,6,35,6,467,17
45,12,,1,19,7,179,250
45,13,,8,27,12,631,50
45,14,7,15,82,64,127,19
45,15,2,11,65,89,91,337
45,16,4,30,412,275,106,133
45,17,,16,64,32,68,8
45,18,12,165,643,139,27,12
45,19,2,17,189,82,7,41
45,20,20,199,801,211,19,24
45,21,,3,859,27,9,43
45,22,,1,570,132,448,151
45,23,,5,728,49,76,60
45,24,,1,448,32,27,45
45,25,,1,485,51,56,52
45,26,1,1,270,40,176,84
45,27,1,3,438,274,448,48
45,28,,,527,64,2,27
45,29,,,442,93,1,32
45,30,,1,987,137,8,73
45,31,4,,1468,146,1,20
45,32,2,,324,60,,36
45,33,,3,692,120,6,37
45,34,3,6,516,113,161,59
45,35,7,,467,106,9,29
45,36,,1,420,95,,20
45,37,3,,566,94,,2
45,38,2,6,783,116,5,46
45,39,3,,1251,138,2,30
45,40,1,1,573,161,7,67
45,41,2,1,1195,117,,
45,42,1,1,1006,109,,
45,43,1,,516,146,10,87
45,44,,2,982,242,4,68
45,45,2,1,650,266,10,72
45,46,,1,728,119,,29
45,47,1,,247,21,,
45,48,3,,832,103,,3
45,49,2,1,1296,245,,4
45,50,2,4,560,172,209,61
45,51,4,1,464,330,9,90
45,52,,,346,124,1,35
45,53,,3,760,403,55,137
45,54,2,,653,298,10,52
45,55,3,2,963,112,2,18
45,56,,1,852,325,86,168
45,57,,,970,172,1,5
45,58,,,650,112,,3
45,59,3,33,1170,99,23,10
45,60,1,,511,56,,1
45,61,1,,1190,129,,4
45,62,2,,688,140,3,2
45,63,1,,693,166,,9
45,64,3,,586,111,1,7
45,65,,1,699,47,2,3
45,66,5,,591,115,1,2
45,67,2,,1148,243,2,29
45,68,1,1,469,84,,10
45,69,1,1,1051,164,,10
45,70,,,564,199,28,50
45,71,,1,843,202,47,35
45,72,3,15,544,304,,4
45,73,,1,371,285,1,1
45,74,2,10,1147,373,3,114
45,75,4,3,385,188,2,35
45,76,,,1038,358,5,54
45,77,,,905,265,11,8
