county,precinct,asian,black,white,latino,native,other
47,1,3,9,184,326,,11
47,2,,47,382,626,1,22
47,3,1,1,107,661,,4
47,4,,3,291,1095,,
47,5,1,7,182,1115,,6
47,6,,5,116,409,,4
47,7,1,7,113,508,1,4
47,8,3,,175,1341,,1
47,9,,2,219,149,,1
47,10,3,10,202,277,,4
47,11,,,34,184,,
47,12,10,17,237,515,,7
47,13,1,5,91,385,,3
47,14,,2,56,78,,
47,15,2,6,153,22,,1
47,16,2,3,393,432,,1
47,17,1,1,15,123,,3
47,18,,2,53,304,,2
47,19,3,10,151,472,,5
47,20,,2,14,135,,
47,21,,12,192,349,,1
47,22,,4,153,186,,2
47,23,3,17,536,1107,,10
47,24,1,2,114,376,,2
47,25,,11,185,358,,4
47,26,2,6,184,1191,,3
47,27,1,3,181,693,,4
47,28,,2,101,554,,5
