county,precinct,asian,black,white,latino,native,other
43,1,5,1,445,1087,,6
43,2,,2,311,1042,,16
43,3,,1,222,538,1,2
43,4,,,221,325,,3
43,5,2,,1281,276,,20
43,6,,,45,29,449,2
43,7,4,2,88,294,5,30
43,8,5,11,40,283,39,62
43,9,,3,14,375,786,6
43,10,,1,292,58,6,29
43,11,5,1,1160,315,,5
43,12,6,2,1133,318,,4
43,13,3,1,919,248,2,3
43,14,,4,6,92,365,7
43,15,2,,476,157,,111
43,16,1,2,84,124,1,5
43,17,,,179,122,,3
43,18,1,6,356,71,2,4
43,19,,2,71,260,1,18
43,20,,,15,116,1056,
43,21,,4,127,262,1,1
43,22,,1,150,340,,4
43,23,1,1,105,139,17,45
43,24,,101,146,253,2,29
43,25,19,103,317,851,1,5
43,26,9,52,146,303,4,2
43,27,1,,54,96,,2
43,28,3,,652,72,3,
43,29,1,,113,179,1,14
43,30,8,23,928,495,,17
43,31,1,8,903,436,,9
43,32,,5,434,154,,5
43,33,1,14,1629,471,2,18
43,34,1,11,604,182,,14
43,35,1,6,754,247,2,5
43,36,,11,842,238,,6
43,37,32,19,1631,680,1,28
43,38,3,25,924,278,,16
43,39,33,12,1537,701,,17
43,40,7,10,743,453,,17
43,41,5,11,1009,351,,16
43,42,5,14,579,313,,16
43,43,3,12,594,342,,12
43,44,5,25,1006,444,1,27
43,45,3,10,874,412,,14
43,46,2,10,617,368,,9
43,47,8,27,1184,750,,54
43,48,5,15,643,253,,11
43,49,8,3,632,269,,8
43,50,8,6,947,415,,9
43,52,4,3,316,124,,7
43,53,15,1,1062,357,,7
43,54,7,2,792,279,,10
43,55,9,,946,120,,11
43,56,2,,543,82,,3
43,57,2,1,599,108,,5
43,58,11,10,1518,515,,13
43,59,3,6,323,111,,2
43,60,3,29,582,272,1,20
43,61,10,6,577,306,,11
43,62,18,25,1022,246,,20
43,63,2,7,531,208,,9
43,64,8,10,1105,320,,10
43,65,11,27,969,604,1,44
43,66,17,37,1394,765,1,39
43,67,8,47,1093,638,,46
43,68,8,39,1182,673,1,46
43,69,4,63,1123,575,,51
43,70,4,11,523,359,,23
43,71,3,35,575,315,,22
43,72,71,56,1451,647,,24
43,73,1,5,511,168,1,3
43,74,7,11,1486,410,,13
43,75,6,12,445,233,,14
43,76,3,1,1174,97,,9
43,77,,,460,115,,133
43,78,2,3,270,21,,4
43,79,,2,230,18,,4
43,80,10,18,1004,591,,30
43,81,6,16,757,217,,17
43,82,6,18,714,469,,30
43,83,11,23,905,269,,25
43,84,8,28,828,450,2,42
43,85,11,16,798,472,,16
43,86,27,27,805,418,,12
