county,precinct,asian,black,white,latino,native,other
49,1,3,1,190,843,,1
49,2,,,67,162,,
49,3,,,63,298,,
49,4,,,23,60,,
49,5,1,2,263,495,11,10
49,6,1,1,58,110,,3
49,7,3,,300,212,1,3
49,8,4,,821,197,3,12
49,9,2,,886,240,,
49,10,4,1,1572,191,,2
49,11,,1,1127,554,1,7
49,12,,1,437,717,,6
49,13,11,4,991,544,,12
49,14,,2,210,541,,3
49,15,1,,701,77,,
49,16,1,2,278,20,,2
49,17,1,3,338,54,,1
49,18,3,7,743,126,,4
49,19,,3,137,90,,
49,20,2,2,757,330,,4
49,21,11,3,1390,391,,3
49,22,5,1,804,279,,2
49,23,1,,247,422,,12
49,24,,1,509,449,,2
49,25,,2,426,260,,5
49,26,2,2,363,161,,2
49,27,4,6,890,315,,5
49,28,3,,531,52,,3
49,29,2,,925,420,,1
49,30,6,,976,158,,2
49,31,6,6,272,361,,3
49,32,1,,673,672,,19
49,33,3,7,583,408,,9
49,34,,3,624,643,,23
49,35,3,11,238,191,,13
49,36,3,2,512,88,,1
49,37,,4,676,283,,9
49,38,,2,659,664,,21
49,39,,,235,510,,1
49,40,,,60,231,14,8
49,41,1,1,170,311,,1
49,42,4,3,415,273,,4
49,43,2,1,451,143,,3
49,44,8,1,776,208,,3
49,45,4,,450,66,,4
49,46,3,,411,57,,1
49,47,2,,826,168,,1
49,48,11,,1577,309,,9
49,49,3,1,438,336,,3
49,50,1,,534,376,,1
49,51,8,1,464,340,,9
49,52,5,8,877,654,2,16
49,53,3,1,871,351,,4
49,54,1,9,1077,307,,19
49,55,15,,1394,178,,4
49,56,5,7,739,440,,5
49,57,1,2,504,275,,7
49,58,2,1,142,696,,7
49,59,1,,275,562,4,7
49,60,,,88,241,,3
49,61,2,1,355,743,1,33
49,62,3,1,263,792,,1
49,63,8,,786,89,,3
49,64,2,2,290,940,1,35
49,65,8,1,1881,193,,3
49,66,16,14,647,959,,15
49,67,4,11,529,1295,,17
49,68,3,1,920,63,,
49,69,3,1,1802,185,,4
49,70,14,3,1671,1146,,28
49,71,7,1,1479,153,,2
49,72,5,14,1106,171,,9
49,73,,5,1253,143,1,1
49,74,3,7,377,415,,3
49,75,21,5,465,968,,16
49,76,4,2,484,364,,3
49,77,,2,707,494,,10
49,78,9,,1303,752,,16
49,79,1,,84,558,,1
49,80,,1,141,664,,2
49,81,3,,429,287,,8
49,82,11,,1103,89,,4
49,83,22,,1338,135,,6
49,84,2,2,1272,257,,3
49,85,2,1,1097,304,,1
49,86,51,6,783,1043,,17
49,87,,,69,180,1,4
49,88,,1,626,459,,7
49,89,31,2,761,786,,10
49,90,8,1,1579,419,,14
