county,precinct,asian,black,white,latino,native,other
55,1,10,30,523,55,,12
55,2,1,7,57,138,,2
55,3,,1,32,122,,1
55,4,,4,276,286,,6
55,5,,,159,367,,1
55,6,,5,248,573,,7
55,7,1,39,572,28,,6
55,8,4,14,251,93,1,10
55,9,22,59,1273,683,,27
55,10,1,6,316,164,,6
55,11,,15,658,466,,26
55,12,11,47,938,695,,13
55,13,2,3,162,655,,3
55,14,2,2,327,352,,14
55,15,5,4,949,766,,48
55,16,3,2,535,321,,23
55,17,8,19,1047,1040,,9
55,18,3,5,827,486,,13
55,19,3,6,645,774,,20
55,20,,3,274,433,,4
55,21,2,1,481,602,,11
55,22,7,11,225,69,,2
55,23,1,3,78,29,,1
55,24,,,5,211,,1
55,25,1,1,33,207,,2
55,26,1,3,29,67,,
55,27,3,4,40,348,,1
55,28,3,1,58,374,,1
55,29,,1,45,160,,1
55,30,2,,6,67,,
55,31,,1,8,40,,1
55,32,1,2,57,181,,1
55,33,,2,124,3,,1
55,34,3,1,366,450,,4
55,35,8,1,731,657,,12
55,36,,9,32,59,,7
