county,precinct,asian,black,white,latino,native,other
61,1,1,3,192,66,,12
61,2,,3,506,955,1,6
61,3,,,263,396,,2
61,4,1,4,600,269,3,
61,5,7,,683,665,1,2
61,6,,1,720,620,,8
61,7,1,15,824,942,,7
61,8,6,6,929,1089,,8
61,9,,,468,209,7,1
61,10,,3,352,335,,1
61,11,,,547,191,,2
61,12,2,9,494,510,1,5
61,13,,4,55,176,232,13
61,14,,,409,477,10,4
61,15,,,283,309,,
61,16,2,3,439,895,,1
61,17,1,9,1055,1067,2,9
61,18,1,,601,201,,2
61,19,,5,392,248,,4
61,20,,7,159,191,,1
61,21,,,580,863,,5
61,22,,1,319,259,1,1
61,23,,1,541,834,1,7
61,24,,,24,279,,
61,25,,1,145,325,,4
61,26,1,,202,434,,1
61,27,,,698,717,,17
61,28,1,13,520,881,13,26
61,29,,12,942,524,,3
61,30,2,13,888,587,,11
61,31,2,16,495,695,,3
61,32,,1,490,712,,8
61,33,1,8,203,234,,
61,34,,2,234,138,,2
61,35,,,222,407,,
61,36,,,229,242,,5
61,37,,2,283,268,,9
61,38,,2,508,396,,8
61,39,9,18,1068,724,,54
61,40,6,4,535,622,,4
61,41,2,1,675,738,1,29
