fips,county
1,Bernalillo County
3,Catron County
5,Chaves County
6,Cibola County
7,Colfax County
9,Curry County
11,De Baca County
13,Dona Ana County
15,Eddy County
17,Grant County
19,Guadalupe County
21,Harding County
23,Hidalgo County
25,Lea County
27,Lincoln County
28,Los Alamos County
29,Luna County
31,McKinley County
33,Mora County
35,Otero County
37,Quay County
39,Rio Arriba County
41,Roosevelt County
43,Sandoval County
45,San Juan County
47,San Miguel County
49,Santa Fe County
51,Sierra County
53,Socorro County
55,Taos County
57,Torrance County
59,Union County
61,Valencia County
